Date,Price of last transaction,Max.,Min.,Average price,%prom.,Quantity,BEST turnover in denars,Total turnover in denars
26.12.2024,"80,00",,,"80,00","0,00",0,0,0
25.12.2024,"80,00",,,"80,00","0,00",0,0,0
24.12.2024,"80,00",,,"80,00","0,00",0,0,0
23.12.2024,"80,00",,,"80,00","0,00",0,0,0
20.12.2024,"80,00",,,"80,00","0,00",0,0,0
19.12.2024,"80,00","80,00","80,00","80,00","0,00",7.800,624.000,624.000
